,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
18,Colombia,6,170400000.0,28400000.0,298832989,49805498.166666664,298832989,49805498.166666664,-32546376.0,-5424396.0,128432989.0,21405498.166666668
19,Croatia,2,125000000.0,62500000.0,94167079,47083539.5,94167079,47083539.5,-93205503.0,-46602751.5,-30832921.0,-15416460.5
20,Cyprus,2,7000000.0,3500000.0,68018606,34009303.0,68018606,34009303.0,-4337599.0,-2168799.5,61018606.0,30509303.0
21,Czech Republic,35,2024618210.2206268,57846234.5777322,4255184961,121576713.17142858,4255184961,121576713.17142858,-453125704.22062683,-12946448.69201791,2230566750.779373,63730478.59369638
22,Denmark,42,702697358.9339973,16730889.498428507,1906235104,45386550.0952381,1906235104,45386550.0952381,38855735.06600273,925136.5491905411,1203537745.0660028,28655660.596809592
23,Ecuador,1,3000000.0,3000000.0,12594630,12594630.0,12594630,12594630.0,3529624.0,3529624.0,9594630.0,9594630.0
24,Egypt,1,6700000.0,6700000.0,7507008,7507008.0,7507008,7507008.0,-6168003.0,-6168003.0,807008.0,807008.0
25,Estonia,1,721565.0,721565.0,1024132,1024132.0,1024132,1024132.0,-577064.0,-577064.0,302567.0,302567.0
26,Finland,12,238209832.77771297,19850819.398142748,630448923,52537410.25,630448923,52537410.25,-77275016.77771297,-6439584.731476081,392239090.22228706,32686590.851857256
27,France,428,12006288080.67704,28052074.954852898,32133367641,75077961.77803738,32133367641,75077961.77803738,-1346840453.67704,-3146823.4898996265,20127079560.32296,47025886.82318448
28,Georgia,2,12721565.0,6360782.5,1341076,670538.0,1341076,670538.0,-12559585.0,-6279792.5,-11380489.0,-5690244.5
29,Germany,404,16489123530.58331,40814662.20441413,36256810258,89744579.84653465,36256810258,89744579.84653465,-933569045.5833092,-2310814.469265617,19767686727.41669,48929917.642120525
30,Greece,5,57440400.0,11488080.0,74922444,14984488.8,74922444,14984488.8,-21870659.0,-4374131.8,17482044.0,3496408.8
31,Guatemala,1,500000.0,500000.0,5060438,5060438.0,5060438,5060438.0,-262699.0,-262699.0,4560438.0,4560438.0
32,Hong Kong,68,3697834799.2435746,54379923.51828786,9966449829,146565438.6617647,9966449829,146565438.6617647,-354932831.2435746,-5219600.459464333,6268615029.756426,92185515.14347684
33,Hungary,30,1576029189.8881314,52534306.32960438,3651004856,121700161.86666666,3651004856,121700161.86666666,-241644380.88813138,-8054812.696271046,2074975666.1118686,69165855.53706229
34,Iceland,8,121573953.2720626,15196744.159007825,314055777,39256972.125,314055777,39256972.125,-39692108.2720626,-4961513.534007825,192481823.7279374,24060227.965992175
35,India,126,3106518435.881352,24654908.22128057,8591491188,68186438.0,8591491188,68186438.0,-379212821.88135195,-3009625.5704869204,5484972752.118649,43531529.77871943
36,Indonesia,3,21600000.0,7200000.0,17800063,5933354.333333333,17800063,5933354.333333333,-14834346.0,-4944782.0,-3799937.0,-1266645.6666666667
37,Iran,3,19270700.0,6423566.666666667,43336170,14445390.0,43336170,14445390.0,-9465923.0,-3155307.6666666665,24065470.0,8021823.333333333
38,Ireland,39,896045852.7000613,22975534.684616957,1701716627,43633759.666666664,1701716627,43633759.666666664,-253226442.70006132,-6492985.710257983,805670774.2999387,20658224.98204971
39,Isle Of Man,3,55169000.0,18389666.666666668,56001247,18667082.333333332,56001247,18667082.333333332,-49353926.0,-16451308.666666666,832247.0,277415.6666666667
40,Israel,4,32646801.813199803,8161700.453299951,55542127,13885531.75,55542127,13885531.75,162740.18680019677,40685.04670004919,22895325.186800197,5723831.296700049
